"filename", "language", "JavaScript", "CSS", "Markdown", "XML", "JSON", "JSON with Comments", "Properties", "comment", "blank", "total"
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\privacyIcon.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\productPrice.svg", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\questionsIcon.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\rightDirection.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\sampleLogo.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\search.svg", "XML", 0, 0, 0, 43, 0, 0, 0, 0, 1, 44
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\searchCode.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\sendMessage.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\servicesIcon.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\shahkar.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\shahrBank.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\signOutIcon.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\sinaBank.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\stop.svg", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\stopExit.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\tajaratBank2.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\tejaratBank.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\telegram.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\twitter.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\userManagement.svg", "XML", 0, 0, 0, 64, 0, 0, 0, 0, 1, 65
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\userRegister.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\userRemaining.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\wallet.svg", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\whiteRamzNegarLogo.svg", "XML", 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\whyRamzNegarIcon.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewSignIn.svg", "XML", 0, 0, 0, 612, 0, 0, 0, 0, 1, 613
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\applicationsIcon.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\bankMellat_gateway.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\bankMelli_gateway.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\bankSepah_gateway.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\blackSignOut.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\blueDownload.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\blueExit.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\breadCrumbsDirection.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\calendar.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\camera.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\changePass.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\down.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\download.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\edit.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\financialIcon.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\grayUploadFile.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\inventoryIcon.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\loginReportsIcon.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\magnifier.svg", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\money.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\multiple.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\noAddedFile.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\noApplication.svg", "XML", 0, 0, 0, 56, 0, 0, 0, 0, 1, 57
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\noTickets.svg", "XML", 0, 0, 0, 39, 0, 0, 0, 0, 1, 40
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\operationDots.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\operationDotsTablet.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\parsianBankLogo.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\personalInfo.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
